PCB_Index,Trace_Index,Node_Index,X,Y,Z,Layer
13,1,3,-16.106,-1.994,1,1
13,1,4,-14.956,-1.994,1,1
13,1,5,-13.966,-1.004,1,1
13,1,6,-13.496,-1.004,1,1
13,1,7,-12.647,-1.853,1,1
13,1,8,-10.007,-1.853,1,1
13,1,9,-9.752,-1.598,1,1
13,1,10,-8.642,-1.598,1,1
14,0,0,-20.235,0.598,1,1
14,0,1,-19.035,0.598,1,1
14,0,2,-18.399,1.234,1,1
14,0,3,-16.199,1.234,1,1
14,0,4,-14.254,3.179,1,1
14,0,5,-13.144,3.179,1,1
14,0,6,-12.451,2.486,1,1
14,0,7,-11.191,2.486,1,1
14,0,8,-10.901,2.776,1,1
14,0,9,-8.931,2.776,1,1
14,0,10,-6.902,0.747,1,1
14,1,0,-20.235,0.398,1,1
14,1,1,-19.035,0.398,1,1
14,1,2,-18.399,1.034,1,1
14,1,3,-16.199,1.034,1,1
14,1,4,-14.254,2.979,1,1
14,1,5,-13.144,2.979,1,1
14,1,6,-12.451,2.286,1,1
14,1,7,-11.191,2.286,1,1
14,1,8,-10.901,2.576,1,1
14,1,9,-8.931,2.576,1,1
14,1,10,-6.902,0.547,1,1
15,0,0,-23.621,1.179,1,1
15,0,1,-20.711,1.179,1,1
15,0,2,-19.106,-0.426,1,1
15,0,3,-17.096,-0.426,1,1
15,0,4,-16.417,0.253,1,1
15,0,5,-15.667,0.253,1,1
15,0,6,-14.536,1.384,1,1
15,0,7,-12.276,1.384,1,1
15,0,8,-11.427,2.233,1,1
15,0,9,-9.557,2.233,1,1
15,0,10,-8.73,3.06,1,1
15,1,0,-23.621,0.979,1,1
15,1,1,-20.711,0.979,1,1
15,1,2,-19.106,-0.626,1,1
15,1,3,-17.096,-0.626,1,1
15,1,4,-16.417,0.053,1,1
15,1,5,-15.667,0.053,1,1
15,1,6,-14.536,1.184,1,1
15,1,7,-12.276,1.184,1,1
15,1,8,-11.427,2.033,1,1
15,1,9,-9.557,2.033,1,1
15,1,10,-8.73,2.86,1,1
16,0,0,-20.247,-1.104,1,1
16,0,1,-17.457,-1.104,1,1
16,0,2,-16.326,0.027,1,1
16,0,3,-15.976,0.027,1,1
16,0,4,-14.512,1.491,1,1
16,0,5,-13.212,1.491,1,1
16,0,6,-12.42,2.283,1,1
16,0,7,-9.99,2.283,1,1
16,0,8,-9.255,3.018,1,1
16,0,9,-6.455,3.018,1,1
16,0,10,-4.716,4.757,1,1
16,1,0,-20.247,-1.304,1,1
16,1,1,-17.457,-1.304,1,1
16,1,2,-16.326,-0.173,1,1
16,1,3,-15.976,-0.173,1,1
16,1,4,-14.512,1.291,1,1
16,1,5,-13.212,1.291,1,1
16,1,6,-12.42,2.083,1,1
16,1,7,-9.99,2.083,1,1
16,1,8,-9.255,2.818,1,1
16,1,9,-6.455,2.818,1,1
16,1,10,-4.716,4.557,1,1
17,0,0,-22.293,1.922,1,1
17,0,1,-21.126,3.089,1,1
17,0,2,-20.536,3.089,1,1
17,0,3,-18.676,1.229,1,1
17,0,4,-17.876,1.229,1,1
17,0,5,-16.653,0.006,1,1
17,0,6,-15.973,0.006,1,1
17,0,7,-15.634,-0.333,1,1
17,0,8,-14.764,-0.333,1,1
17,0,9,-13.173,1.258,1,1
17,0,10,-11.503,1.258,1,1
17,1,0,-22.293,1.722,1,1
17,1,1,-21.126,2.889,1,1
17,1,2,-20.536,2.889,1,1
17,1,3,-18.676,1.029,1,1
17,1,4,-17.876,1.029,1,1
17,1,5,-16.653,-0.194,1,1
17,1,6,-15.973,-0.194,1,1
17,1,7,-15.634,-0.533,1,1
17,1,8,-14.764,-0.533,1,1
17,1,9,-13.173,1.058,1,1
17,1,10,-11.503,1.058,1,1
18,0,0,-23.051,1.034,1,1
18,0,1,-20.201,1.034,1,1
18,0,2,-19.756,0.589,1,1
18,0,3,-19.336,0.589,1,1
18,0,4,-18.806,0.059,1,1
18,0,5,-16.956,0.059,1,1
18,0,6,-16.008,1.007,1,1
18,0,7,-13.168,1.007,1,1
18,0,8,-11.436,2.739,1,1
18,0,9,-9.206,2.739,1,1
18,0,10,-8.902,2.435,1,1
18,1,0,-23.051,0.834,1,1
18,1,1,-20.201,0.834,1,1
18,1,2,-19.756,0.389,1,1
18,1,3,-19.336,0.389,1,1
18,1,4,-18.806,-0.141,1,1
18,1,5,-16.956,-0.141,1,1
18,1,6,-16.008,0.807,1,1
18,1,7,-13.168,0.807,1,1
18,1,8,-11.436,2.539,1,1
18,1,9,-9.206,2.539,1,1
18,1,10,-8.902,2.235,1,1
19,0,0,-21.506,0.606,1,1
19,0,1,-20.246,0.606,1,1
19,0,2,-19.348,1.504,1,1
19,0,3,-17.378,1.504,1,1
19,0,4,-15.419,3.463,1,1
19,0,5,-12.899,3.463,1,1
19,0,6,-11.775,4.587,1,1
19,0,7,-8.975,4.587,1,1
19,0,8,-7.589,3.201,1,1
19,0,9,-6.419,3.201,1,1
19,0,10,-5.125,1.907,1,1
19,1,0,-21.506,0.406,1,1
19,1,1,-20.246,0.406,1,1
19,1,2,-19.348,1.304,1,1
19,1,3,-17.378,1.304,1,1
19,1,4,-15.419,3.263,1,1
19,1,5,-12.899,3.263,1,1
19,1,6,-11.775,4.387,1,1
19,1,7,-8.975,4.387,1,1
19,1,8,-7.589,3.001,1,1
19,1,9,-6.419,3.001,1,1
19,1,10,-5.125,1.707,1,1
20,0,0,-21.128,-1.509,1,1
20,0,1,-19.828,-1.509,1,1
20,0,2,-19.375,-1.962,1,1
20,0,3,-17.435,-1.962,1,1
20,0,4,-16.848,-1.375,1,1
20,0,5,-16.168,-1.375,1,1
20,0,6,-14.994,-2.549,1,1
20,0,7,-13.834,-2.549,1,1
20,0,8,-13.325,-2.04,1,1
20,0,9,-10.555,-2.04,1,1
20,0,10,-9.798,-2.797,1,1
20,1,0,-21.128,-1.709,1,1
20,1,1,-19.828,-1.709,1,1
20,1,2,-19.375,-2.162,1,1
20,1,3,-17.435,-2.162,1,1
20,1,4,-16.848,-1.575,1,1
20,1,5,-16.168,-1.575,1,1
20,1,6,-14.994,-2.749,1,1
20,1,7,-13.834,-2.749,1,1
20,1,8,-13.325,-2.24,1,1
20,1,9,-10.555,-2.24,1,1
20,1,10,-9.798,-2.997,1,1
21,0,0,-22.697,-2.425,1,1
21,0,1,-21.417,-2.425,1,1
21,0,2,-20.604,-1.612,1,1
21,0,3,-18.264,-1.612,1,1
21,0,4,-16.433,0.219,1,1
21,0,5,-13.643,0.219,1,1
21,0,6,-12.25,-1.174,1,1
21,0,7,-10.11,-1.174,1,1
21,0,8,-9.092,-2.192,1,1
21,0,9,-7.182,-2.192,1,1
21,0,10,-6.949,-2.425,1,1
21,1,0,-22.697,-2.625,1,1
21,1,1,-21.417,-2.625,1,1
21,1,2,-20.604,-1.812,1,1
21,1,3,-18.264,-1.812,1,1
21,1,4,-16.433,0.019,1,1
21,1,5,-13.643,0.019,1,1
21,1,6,-12.25,-1.374,1,1
21,1,7,-10.11,-1.374,1,1
21,1,8,-9.092,-2.392,1,1
21,1,9,-7.182,-2.392,1,1
21,1,10,-6.949,-2.625,1,1
22,0,0,-20.34,0.857,1,1
22,0,1,-18.27,0.857,1,1
22,0,2,-17.669,0.256,1,1
22,0,3,-15.809,0.256,1,1
22,0,4,-14.458,-1.095,1,1
22,0,5,-12.368,-1.095,1,1
22,0,6,-11.583,-1.88,1,1
22,0,7,-10.853,-1.88,1,1
22,0,8,-9.99,-2.743,1,1
22,0,9,-7.97,-2.743,1,1
22,0,10,-7.574,-3.139,1,1
22,1,0,-20.34,0.657,1,1
22,1,1,-18.27,0.657,1,1
22,1,2,-17.669,0.056,1,1
22,1,3,-15.809,0.056,1,1
22,1,4,-14.458,-1.295,1,1
22,1,5,-12.368,-1.295,1,1
22,1,6,-11.583,-2.08,1,1
22,1,7,-10.853,-2.08,1,1
22,1,8,-9.99,-2.943,1,1
22,1,9,-7.97,-2.943,1,1
22,1,10,-7.574,-3.339,1,1
23,0,0,-21.041,1.745,1,1
23,0,1,-19.351,1.745,1,1
23,0,2,-17.802,3.294,1,1
23,0,3,-16.332,3.294,1,1
23,0,4,-14.578,1.54,1,1
23,0,5,-13.098,1.54,1,1
23,0,6,-12.843,1.795,1,1
23,0,7,-10.743,1.795,1,1
23,0,8,-9.972,2.566,1,1
23,0,9,-7.172,2.566,1,1
23,0,10,-6.133,3.605,1,1
23,1,0,-21.041,1.545,1,1
23,1,1,-19.351,1.545,1,1
23,1,2,-17.802,3.094,1,1
23,1,3,-16.332,3.094,1,1
23,1,4,-14.578,1.34,1,1
23,1,5,-13.098,1.34,1,1
23,1,6,-12.843,1.595,1,1
23,1,7,-10.743,1.595,1,1
23,1,8,-9.972,2.366,1,1
23,1,9,-7.172,2.366,1,1
23,1,10,-6.133,3.405,1,1
24,0,0,-21.006,-1.464,1,1
24,0,1,-19.586,-1.464,1,1
24,0,2,-18.992,-0.87,1,1
24,0,3,-17.482,-0.87,1,1
24,0,4,-16.358,0.254,1,1
24,0,5,-14.848,0.254,1,1
24,0,6,-14.275,0.827,1,1
24,0,7,-12.995,0.827,1,1
24,0,8,-12.26,1.562,1,1
24,0,9,-11.24,1.562,1,1
24,0,10,-10.356,0.678,1,1
24,1,0,-21.006,-1.664,1,1
24,1,1,-19.586,-1.664,1,1
24,1,2,-18.992,-1.07,1,1
24,1,3,-17.482,-1.07,1,1
24,1,4,-16.358,0.054,1,1
24,1,5,-14.848,0.054,1,1
24,1,6,-14.275,0.627,1,1
24,1,7,-12.995,0.627,1,1
24,1,8,-12.26,1.362,1,1
24,1,9,-11.24,1.362,1,1
24,1,10,-10.356,0.478,1,1
25,0,0,-21.995,-1.444,1,1
25,0,1,-20.234,0.317,1,1
25,0,2,-17.724,0.317,1,1
25,0,3,-16.168,1.873,1,1
25,0,4,-14.168,1.873,1,1
25,0,5,-13.857,2.184,1,1
25,0,6,-13.267,2.184,1,1
25,0,7,-11.655,3.796,1,1
25,0,8,-11.155,3.796,1,1
25,0,9,-9.663,5.288,1,1
25,0,10,-8.363,5.288,1,1
25,1,0,-21.995,-1.644,1,1
25,1,1,-20.234,0.117,1,1
25,1,2,-17.724,0.117,1,1
25,1,3,-16.168,1.673,1,1
25,1,4,-14.168,1.673,1,1
25,1,5,-13.857,1.984,1,1
25,1,6,-13.267,1.984,1,1
25,1,7,-11.655,3.596,1,1
25,1,8,-11.155,3.596,1,1
25,1,9,-9.663,5.088,1,1
25,1,10,-8.363,5.088,1,1
26,0,0,-22.166,-2.146,1,1
26,0,1,-21.749,-2.563,1,1
26,0,2,-19.099,-2.563,1,1
26,0,3,-17.48,-4.182,1,1
26,0,4,-14.49,-4.182,1,1
26,0,5,-12.97,-2.662,1,1
26,0,6,-12.53,-2.662,1,1
26,0,7,-12.233,-2.365,1,1
26,0,8,-9.513,-2.365,1,1
26,0,9,-8.537,-3.341,1,1
26,0,10,-5.657,-3.341,1,1
26,1,0,-22.166,-2.346,1,1
26,1,1,-21.749,-2.763,1,1
26,1,2,-19.099,-2.763,1,1
26,1,3,-17.48,-4.382,1,1
26,1,4,-14.49,-4.382,1,1
26,1,5,-12.97,-2.862,1,1
26,1,6,-12.53,-2.862,1,1
26,1,7,-12.233,-2.565,1,1
26,1,8,-9.513,-2.565,1,1
26,1,9,-8.537,-3.541,1,1
26,1,10,-5.657,-3.541,1,1
27,0,0,-20.781,-1.88,1,1
27,0,1,-17.931,-1.88,1,1
27,0,2,-17.104,-2.707,1,1
27,0,3,-14.814,-2.707,1,1
27,0,4,-14.227,-3.294,1,1
27,0,5,-13.507,-3.294,1,1
27,0,6,-12.524,-2.311,1,1
27,0,7,-11.674,-2.311,1,1
27,0,8,-10.663,-3.322,1,1
27,0,9,-9.903,-3.322,1,1
27,0,10,-8.482,-1.901,1,1
27,1,0,-20.781,-2.08,1,1
27,1,1,-17.931,-2.08,1,1
27,1,2,-17.104,-2.907,1,1
27,1,3,-14.814,-2.907,1,1
27,1,4,-14.227,-3.494,1,1
27,1,5,-13.507,-3.494,1,1
27,1,6,-12.524,-2.511,1,1
27,1,7,-11.674,-2.511,1,1
27,1,8,-10.663,-3.522,1,1
27,1,9,-9.903,-3.522,1,1
27,1,10,-8.482,-2.101,1,1
28,0,0,-22.83,-0.438,1,1
28,0,1,-21.42,-0.438,1,1
28,0,2,-20.218,0.764,1,1
28,0,3,-18.208,0.764,1,1
28,0,4,-17.635,1.337,1,1
28,0,5,-15.915,1.337,1,1
28,0,6,-14.218,-0.36,1,1
28,0,7,-13.118,-0.36,1,1
28,0,8,-12.022,0.736,1,1
28,0,9,-10.192,0.736,1,1
28,0,10,-8.467,2.461,1,1
28,1,0,-22.83,-0.638,1,1
28,1,1,-21.42,-0.638,1,1
28,1,2,-20.218,0.564,1,1
28,1,3,-18.208,0.564,1,1
28,1,4,-17.635,1.137,1,1
28,1,5,-15.915,1.137,1,1
28,1,6,-14.218,-0.56,1,1
28,1,7,-13.118,-0.56,1,1
28,1,8,-12.022,0.536,1,1
28,1,9,-10.192,0.536,1,1
28,1,10,-8.467,2.261,1,1
29,0,0,-22.246,-2.266,1,1
29,0,1,-21.631,-1.651,1,1
29,0,2,-20.161,-1.651,1,1
29,0,3,-19.171,-2.641,1,1
29,0,4,-16.961,-2.641,1,1
29,0,5,-15.907,-3.695,1,1
29,0,6,-13.367,-3.695,1,1
29,0,7,-11.974,-2.302,1,1
29,0,8,-10.894,-2.302,1,1
29,0,9,-10.35,-1.758,1,1
29,0,10,-9.66,-1.758,1,1
29,1,0,-22.246,-2.466,1,1
29,1,1,-21.631,-1.851,1,1
29,1,2,-20.161,-1.851,1,1
29,1,3,-19.171,-2.841,1,1
29,1,4,-16.961,-2.841,1,1
29,1,5,-15.907,-3.895,1,1
29,1,6,-13.367,-3.895,1,1
29,1,7,-11.974,-2.502,1,1
29,1,8,-10.894,-2.502,1,1
29,1,9,-10.35,-1.958,1,1
29,1,10,-9.66,-1.958,1,1
30,0,0,-22.308,-0.776,1,1
30,0,1,-19.448,-0.776,1,1
30,0,2,-18.154,0.518,1,1
30,0,3,-17.504,0.518,1,1
30,0,4,-17.257,0.765,1,1
30,0,5,-14.427,0.765,1,1
30,0,6,-13.027,2.165,1,1
30,0,7,-11.637,2.165,1,1
30,0,8,-10.838,2.964,1,1
30,0,9,-7.858,2.964,1,1
30,0,10,-6.09,1.196,1,1
30,1,0,-22.308,-0.976,1,1
30,1,1,-19.448,-0.976,1,1
30,1,2,-18.154,0.318,1,1
30,1,3,-17.504,0.318,1,1
30,1,4,-17.257,0.565,1,1
30,1,5,-14.427,0.565,1,1
30,1,6,-13.027,1.965,1,1
30,1,7,-11.637,1.965,1,1
30,1,8,-10.838,2.764,1,1
30,1,9,-7.858,2.764,1,1
30,1,10,-6.09,0.996,1,1
31,0,0,-20.797,-2.059,1,1
31,0,1,-18.697,-4.159,1,1
31,0,2,-15.817,-4.159,1,1
31,0,3,-13.936,-6.04,1,1
31,0,4,-13.076,-6.04,1,1
31,0,5,-11.591,-7.525,1,1
31,0,6,-9.931,-7.525,1,1
31,0,7,-9.394,-6.988,1,1
31,0,8,-8.834,-6.988,1,1
31,0,9,-7.392,-5.546,1,1
31,0,10,-6.812,-5.546,1,1
31,1,0,-20.797,-2.259,1,1
31,1,1,-18.697,-4.359,1,1
31,1,2,-15.817,-4.359,1,1
31,1,3,-13.936,-6.24,1,1
31,1,4,-13.076,-6.24,1,1
31,1,5,-11.591,-7.725,1,1
31,1,6,-9.931,-7.725,1,1
31,1,7,-9.394,-7.188,1,1
31,1,8,-8.834,-7.188,1,1
31,1,9,-7.392,-5.746,1,1
31,1,10,-6.812,-5.746,1,1
32,0,0,-22.192,1.648,1,1
32,0,1,-20.848,2.992,1,1
32,0,2,-18.278,2.992,1,1
32,0,3,-17.076,1.79,1,1
32,0,4,-14.456,1.79,1,1
32,0,5,-13.487,0.821,1,1
32,0,6,-11.077,0.821,1,1
32,0,7,-9.316,2.582,1,1
32,0,8,-7.446,2.582,1,1
32,0,9,-6.852,3.176,1,1
32,0,10,-4.932,3.176,1,1
32,1,0,-22.192,1.448,1,1
32,1,1,-20.848,2.792,1,1
32,1,2,-18.278,2.792,1,1
32,1,3,-17.076,1.59,1,1
32,1,4,-14.456,1.59,1,1
32,1,5,-13.487,0.621,1,1
32,1,6,-11.077,0.621,1,1
32,1,7,-9.316,2.382,1,1
32,1,8,-7.446,2.382,1,1
32,1,9,-6.852,2.976,1,1
32,1,10,-4.932,2.976,1,1
33,0,0,-20.439,2.244,1,1
33,0,1,-19.359,2.244,1,1
33,0,2,-18.15,3.453,1,1
33,0,3,-17.46,3.453,1,1
33,0,4,-16.654,4.259,1,1
33,0,5,-14.714,4.259,1,1
33,0,6,-13.894,3.439,1,1
33,0,7,-11.594,3.439,1,1
33,0,8,-11.262,3.771,1,1
33,0,9,-10.702,3.771,1,1
33,0,10,-10.242,3.311,1,1
